code,list,section,ordinal,supplementary,author,title,year,kind,stars,work_id,pdf,pdf_verdict,state,pages,sections,chunks,embedded,note
II.C.15,II. Dissertation,"Witchcraft, Healing, and Supernatural Encounters",15,,"Kraul, Edward Garcia, y Judith Beatty",The Weeping Woman: Encounters with La Llorona,1988,monograph,,kraul-the-weeping-woman-encounters-with-1988,"The Weeping woman _ encounters with La Llorona -- Kraul, Edward Garcia; Beatty, Judith -- 1st ed_, Santa Fe, N_M, New Mexico, 1988 -- Santa Fe, N_M_ _ -- isbn13 9780945937067 -- 3a0fc7f030b1bdd249e36e8817fdfeea -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.D.16,II. Dissertation,Literary Reworkings and Comparative Indigenous Horror,16,,"Garcez, Antonio R",American Indian Ghost Stories of the West,2003,monograph,,garcez-american-indian-ghost-stories-of-2003,,,missing,0,0,0,0,
II.D.17,II. Dissertation,Literary Reworkings and Comparative Indigenous Horror,17,,"Sagel, Jim",Hablando de brujas y la gente de antes: poemas del Río Chama,1981,monograph,,sagel-hablando-de-brujas-y-la-1981,"Hablando De Brujas Y La Gente De Antes_ Poemas Del Río Chama -- por Jim Sagel; introduction by John Nichols -- Austin, Tex, Texas, 1981 -- Austin, -- 9780916908027 -- 01952a1d38588e8dc6a20a5044187476 -- Anna’s Arc.pdf",citable,loaded,92,0,39,39,
II.E.18,II. Dissertation,"Hauntology, Spectrality, and Historical Temporality",18,,"Abudu, KJ, editor",Living with Ghosts: A Reader,2022,edited_volume,,abudu-living-with-ghosts-a-reader-2022,,,missing,0,0,0,0,
II.E.19,II. Dissertation,"Hauntology, Spectrality, and Historical Temporality",19,,"Derrida, Jacques","Specters of Marx: The State of the Debt, the Work of Mourning, and the New International",1994,monograph,,derrida-specters-of-marx-the-state-1994,"Espectros de Marx_ El Estado de la deuda, el trabajo del -- Jacques Derrida -- 1998 -- Editorial Trotta, S_A_ -- isbn13 9788413641379 -- 67c37d71757e81c978c856105b61f8f3 -- Anna�s Archive.pdf",,missing,0,0,0,0,
II.E.20,II. Dissertation,"Hauntology, Spectrality, and Historical Temporality",20,,"Weinstock, Jeffrey Andrew, editor",Spectral America: Phantoms and the National Imagination,2004,edited_volume,,weinstock-spectral-america-phantoms-and-the-2004,,,missing,0,0,0,0,
II.E.21,II. Dissertation,"Hauntology, Spectrality, and Historical Temporality",21,,"Fisher, Mark",The Weird and the Eerie,2017,monograph,,fisher-the-weird-and-the-eerie-2017,"The Weird and the Eerie -- Mark Fisher -- Paperback, 2017 -- Repeater Books Distributed in the United States by Random -- isbn13 9781910924389 -- 7e7b6699f2c1463523b456373cea8d19 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.F.22,II. Dissertation,"Haunting as Aesthetic and Narrative Experience: The Fantastic, the Gothic, and",22,,"Keetley, Dawn, y Ruth Heholt, editoras",Folk Horror: New Global Pathways,2023,edited_volume,,keetley-folk-horror-new-global-pathways-2023,,,wrong,0,0,0,0,scores against the same Future Folk Horror file; no copy of New Global Pathways
II.F.23,II. Dissertation,"Haunting as Aesthetic and Narrative Experience: The Fantastic, the Gothic, and",23,,"Todorov, Tzvetan",The Fantastic: A Structural Approach to a Literary Genre,1975,monograph,,todorov-the-fantastic-a-structural-approach-1975,"Teori_as de lo fant�stico (Lecturas) (Spanish Edition) -- Jaime Alazraki, Jean Bellemin-No�l, Ir�ne Bessi�re, Roger -- Bibliotheca Philologica_ Serie -- isbn13 9788476354537 -- 2cfd627e742bd7592753cc4cb63d5f3f -- Anna�s Archive.pdfpdff",,missing,0,0,0,0,
II.F.24,II. Dissertation,"Haunting as Aesthetic and Narrative Experience: The Fantastic, the Gothic, and",24,,"Walter, Roland",Magical Realism in Contemporary Chicano Fiction,1993,monograph,,walter-magical-realism-in-contemporary-chicano-1993,"Magical Realism in Contemporary Chicano Fiction _$bRon -- Walter, Roland (Roland Gerhard Mike) -- Editionen der Iberoamericana_ Reihe III, -- isbn13 9783893548484 -- 1edc99f54d4966445364b56035a3b2d2 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
