id,author,title,year,isbn,list_id,list,section,section_letter,group,examinable,other_titles,entry,file,how,note,ext,file_isbn,citable
jelin-los-trabajos-de-la-memoria-2002,"Jelin, Elizabeth",Los trabajos de la memoria,2002,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Jelin, Elizabeth. Los trabajos de la memoria. Siglo XXI Editores, 2002.","Los trabajos de la memoria -- Jelin, Elizabeth -- Bookwire GmbH, Buenos Aires, Argentina, 2021 -- Fondo de Cultura Económica Argentina -- isbn13 9789877192537 -- 70a3e9a075182ac0830b2ecac53031dd -- Anna’s Archive.pdf",matched (90),,.pdf,9789877192537,yes
molloy-acto-de-presencia-la-escritura-1996,"Molloy, Sylvia",Acto de presencia: la escritura autobiográfica en Hispanoamérica,1996,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Molloy, Sylvia. Acto de presencia: la escritura autobiográfica en Hispanoamérica. Traducción de José Esteban Calderón, El Colegio de México / Fondo de Cultura Económica, 1996.","Acto de presencia _ la escritura autobiográfica en -- Molloy, Sylvia -- Serie Estudios de lingüística y literatura -- 35, Colección -- México, D_F_ _ -- isbn13 9789681208035 -- 7cf48f589a784a099a6af2f88b4ee3c0 -- Anna’s Archive.pdf",matched (110),,.pdf,9789681208035,yes
stoler-along-the-archival-grain-epistemic-2009,"Stoler, Ann Laura",Along the Archival Grain: Epistemic Anxieties and Colonial Common Sense,2009,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Stoler, Ann Laura. Along the Archival Grain: Epistemic Anxieties and Colonial Common Sense. Princeton University Press, 2009.","Along the Archival Grain _ Epistemic Anxieties and Colonial -- Ann Laura Stoler -- 1, 2010-02-14 -- Princeton University Press -- isbn13 9780691015774 -- 7f28fb8fc712fd06b69f34b1c2012039 -- Anna’s Archive.pdf",matched (110),,.pdf,9780691015774,yes
taylor-the-archive-and-the-repertoire-2003,"Taylor, Diana",The Archive and the Repertoire: Performing Cultural Memory in the Americas,2003,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Taylor, Diana. The Archive and the Repertoire: Performing Cultural Memory in the Americas. Duke University Press, 2003.","El archivo y el repertorio_ el cuerpo y la memoria cultural -- Diana Taylor; traducción de Anabelle Contreras Castro -- Colección Antropología, -- isbn13 9789569320828 -- 3dbfb007feaa40f271b6acf6ce63611d -- Anna’s Archive.pdf",override,Spanish translation,.pdf,9789569320828,yes
adorno-the-polemics-of-possession-in-2007,"Adorno, Rolena",The Polemics of Possession in Spanish American Narrative,2007,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Adorno, Rolena. The Polemics of Possession in Spanish American Narrative. Yale University Press, 2007.",Rolena Adorno_Polemics of Possesion.pdf,override,filename misspells Possesion — no token overlap,.pdf,,yes
gerhard-la-frontera-norte-de-la-1996,"Gerhard, Peter",La frontera norte de la Nueva España,1996,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Gerhard, Peter. La frontera norte de la Nueva España. Traducción de Patricia Escandón Bolaños, mapas de Bruce Campbell, Universidad Nacional Autónoma de México, 1996.",La frontera norte de la nueva españa.pdf,matched (85),,.pdf,,yes
gomez-barris-the-extractive-zone-social-ecologies-2017,"Gómez-Barris, Macarena",The Extractive Zone: Social Ecologies and Decolonial Perspectives,2017,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Gómez-Barris, Macarena. The Extractive Zone: Social Ecologies and Decolonial Perspectives. Duke University Press, 2017.","The Extractive Zone_ Social Ecologies and Decolonial -- Macarena Gómez-Barris -- Dissident acts, Durham, 2017 -- Duke University Press Books -- isbn13 9780822368755 -- c3da1f8ff022650051242aae75f1bffa -- Anna’s Archive.pdf",matched (110),,.pdf,9780822368755,yes
jauregui-espectros-y-conjuras-asedios-a-2020,"Jáuregui, Carlos A",Espectros y conjuras: asedios a la cuestión colonial,2020,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Jáuregui, Carlos A. Espectros y conjuras: asedios a la cuestión colonial. Iberoamericana / Vervuert, 2020.","Espectros y conjuras- Asedios a la cuestión colonial -- Carlos A_ Jáuregui -- Parecos y australes_ Ensayos de Cultura de la Colonia; 25, -- Vervuert -- 9783964568182 -- a8875767c5758e8601e5925013373a26 -- Anna’s Archive.pdf",matched (110),,.pdf,9783964568182,yes
saldana-portillo-indian-given-racial-geographies-across-2016,"Saldaña-Portillo, María Josefina",Indian Given: Racial Geographies across Mexico and the United States,2016,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Saldaña-Portillo, María Josefina. Indian Given: Racial Geographies across Mexico and the United States. Duke University Press, 2016.","Indian Given_ Racial Geographies across Mexico and the -- María Josefina Saldaña-Portillo -- Latin America otherwise _ languages, empires, nations, -- isbn13 9780822359883 -- e9c35a63deb7d6c6e530e58b192fdb18 -- Anna’s Archive.pdf",matched (110),,.pdf,9780822359883,yes
taussig-shamanism-colonialism-and-the-wild-1987,"Taussig, Michael","Shamanism, Colonialism, and the Wild Man: A Study in Terror and Healing",1987,,theory,I. Theory,"C. Coloniality, Possession, and Racial Geographies",C,core,yes,,"Taussig, Michael. Shamanism, Colonialism, and the Wild Man: A Study in Terror and Healing. University of Chicago Press, 1987.","Shamanism, colonialism, and the wild man _ a study in terror -- Michael Taussig, Michael T_ Taussig -- ACLS Humanities E-Book, Chicago, 1986, ©1987 -- isbn13 9780226790114 -- b07beae998f5890dcb339da8906deff3 -- Anna’s Archive.pdf",matched (110),,.pdf,9780226790114,yes
